data,id_campanha,campanha,canal,objetivo,plataforma,pais,regiao,origem_trafego,impressoes,cliques,investimento,receita,leads,leads_qualificados,clientes,emails_enviados,emails_abertos,emails_cliques,dispositivo,tipo_usuario
06/04/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,brazil,Nordeste,Instagram,50539,599,4646.89,2778.28,142,62,28,3353,3341,703,desktop,returning
05/05/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,BRA,Sudeste,Facebook,32083,301,2204.92,1230.69,86,53,19,27029,13025,3356,tablet,new
15/01/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,brazil,Centro-Oeste,Facebook,46846,2580,5483.66,40788.41,366,117,119,45413,28087,988,Desktop,returning
11/05/2025,CAMP001,Google Ads,Search,Aquisição,Google,Brasil,Nordeste,YouTube,10626,332,1610.21,5488.4,36,21,36,39158,23019,18639,mobile,new
22/02/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,,YouTube,13711,712,4982.5,21382.79,82,21,73,16251,7725,526,mobile,Returning
09/01/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,Brasil,Centro-Oeste,Google,109101,109101,,13738.66,544,265,170,37935,26589,17773,mobile,Returning
18/06/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,br,sudeste,Instagram,35087,1729,1076.61,18506.86,404,105,161,31811,16019,2720,mobile,New
02/02/2025,CAMP001,Google Ads,Search,Aquisição,Google,BRA,Sudeste,Facebook,117360,3284,648.97,12897.23,380,213,105,17369,3041,105,tablet,returning
14/05/2025,CAMP003,Instagram,Social Media,Brand Awareness,Meta,Brasil,Nordeste,Instagram,88976,5459,3587.23,35639.94,1720,1105,608,14629,12398,8442,,New
03/06/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,Brasil,,Instagram,38662,1727,4795.59,13038.26,166,64,121,14612,1266,121,tablet,
22/02/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,BR,Nordeste,Google,75326,790,282.47,7552.74,134,73,28,15025,8946,6236,,
24/01/2025,CAMP007,YouTube Ads,Social Media,Aquisição,Google,br,sudeste,Instagram,79131,3469,5025.05,80275.48,786,418,319,26849,22015,12003,,New
25/04/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BRA,,YouTube,50241,3014,4105.84,32715.08,837,269,136,24279,12765,11561,Mobile,
15/06/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,Centro-Oeste,Email,9648,213,2977.69,5610.83,37,21,22,27616,24603,2113,mobile,Returning
13/06/2025,CAMP008,Newsletter,Email,Retenção,CRM,BRA,Sul,Instagram,17588,378,5761.56,3224.04,64,31,15,20816,9472,6276,mobile,new
28/04/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Centro-Oeste,Instagram,76635,2270,2415.25,46528.14,660,421,178,18774,1742,619,Mobile,New
06/02/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,sudeste,Facebook,N/A,1052,1576.85,12143.51,109,33,86,26611,20969,8467,desktop,New
19/02/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,Nordeste,Meta,66212,3805,3424.03,58597.47,989,323,238,33556,12595,1969,tablet,new
08/01/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,BR,Nordeste,Facebook,28196,938,1274.9,31233.79,287,220,108,29625,15504,7705,mobile,Returning
01/01/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,Sudeste,Email,36890,2273,4385.27,63812.13,395,133,231,6704,3232,1112,tablet,new
09/03/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BR,Centro-Oeste,Google,119044,6144,2932.39,266276.26,1947,826,689,4712,1367,821,Desktop,New
23/05/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,br,,Google,14108,14108,3937.68,7966.01,83,21,30,12207,7117,2889,desktop,
13/03/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,br,Nordeste,Facebook,40631,2287,5317.42,29609.16,274,147,253,47819,43790,8234,desktop,
31/05/2025,CAMP005,Remarketing,Display,Conversão,Google,brazil,Nordeste,YouTube,69106,582,5852.49,7813.63,192,54,48,38650,6012,963,desktop,
05/06/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,BR,sudeste,Email,N/A,1480,4706.99,7774.84,508,356,146,35054,29734,7052,Mobile,Returning
28/04/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,br,sudeste,Google,105102,5727,3493.27,36636.88,462,277,310,10435,3097,520,tablet,New
01/06/2025,CAMP008,Newsletter,Email,Retenção,CRM,brazil,Sudeste,Facebook,106529,2404,4797.93,41372.72,628,436,232,4040,1462,241,Desktop,New
29/04/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,Sul,Email,85532,1150,4226.52,5728.24,261,98,33,40420,7421,5016,Mobile,returning
28/04/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BRA,Centro-Oeste,Google,93700,4582,6444.48,49585.28,495,320,401,26766,6764,5101,Desktop,returning
16/05/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,Sul,YouTube,59624,1247,590.84,16671.22,122,84,65,15484,11015,7397,Desktop,
03/01/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,brazil,Centro-Oeste,Email,79069,3649,4352.68,117296.17,1011,511,435,45843,30137,28195,mobile,New
07/06/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BRA,Nordeste,Google,103936,5700,2060.42,35571.35,1186,546,114,49231,29301,26116,mobile,
30/05/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,BR,Centro-Oeste,Meta,61273,3241,4013.89,86295.17,398,113,342,6782,6257,1601,desktop,new
16/03/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,,Meta,43067,1031,5695.69,15794.98,301,170,117,25819,4107,560,tablet,returning
07/06/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BR,sudeste,Google,78165,4216,,44295.17,796,274,412,8373,5907,4361,tablet,new
05/04/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,BR ,Nordeste,Email,10901,173,5416.26,3383.29,58,40,19,49519,35732,17347,Desktop,Returning
08/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Centro-Oeste,Facebook,16871,706,5713.27,13954.87,218,54,80,38947,27286,6610,Mobile,New
10/05/2025,CAMP001,Google Ads,Search,Aquisição,Google,BRA,Sudeste,Instagram,60677,3926,4563.47,33984.97,567,186,82,29861,28141,9074,Desktop,new
13/04/2025,CAMP005,Remarketing,Display,Conversão,Google,BRA,,YouTube,39171,997,3496.71,17989.47,114,84,80,15818,14854,14490,tablet,
13/05/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,brazil,Centro-Oeste,Meta,66949,1484,2807.99,14994.74,351,219,53,26476,22740,14828,tablet,
13/06/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Sudeste,Email,46424,661,3035.3,17252.83,70,36,47,38487,28411,593,Desktop,
11/02/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BRA,Centro-Oeste,Instagram,60316,3770,798.65,33131.13,1261,876,164,43080,23561,20281,desktop,New
26/06/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Sudeste,Email,54230,3183,5753.62,22955.29,1103,544,198,29758,3456,407,Desktop,
27/02/2025,CAMP008,Newsletter,Email,Retenção,CRM,br,,Instagram,15142,377,5069.05,5792.45,49,16,19,40261,10759,5439,mobile,new
27/06/2025,CAMP001,Google Ads,Search,Aquisição,Google,br,,Email,96074,1433,5068.92,34077.73,319,87,114,35964,20131,5978,tablet,Returning
11/01/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BRA,Centro-Oeste,Instagram,21905,597,1576.31,13837.96,117,57,67,28413,12275,2461,desktop,new
29/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,BRA,Sul,YouTube,82794,3831,5733.36,30887.48,869,521,184,16997,14215,301,,returning
22/01/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,Centro-Oeste,Google,28387,296,986.48,2941.5,89,32,12,21567,10517,3754,desktop,returning
06/06/2025,CAMP007,YouTube Ads,Video,Aquisição,Google,BRA,Sul,Meta,34725,2006,4983.12,22045.59,410,104,164,26860,16898,16832,Mobile,returning
10/01/2025,CAMP001,Google Ads,Search,Aquisição,Google,BR,,YouTube,39196,1951,1343.96,31128.77,568,315,155,20033,10805,3083,mobile,New
01/05/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,sudeste,Email,20379,542,2090.59,6048.98,189,85,31,43003,18313,14871,,
13/04/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,br,,Meta,64796,625,1301.38,4236.18,117,85,34,4586,4431,2947,desktop,Returning
27/05/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,BR,Sudeste,Meta,115384,115384,4565.89,52043.87,1763,644,362,11258,8623,5469,Desktop,new
16/02/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BR,sudeste,Email,116562,5806,1251.6,79830.62,1242,432,269,31254,18509,16230,mobile,Returning
18/05/2025,CAMP005,Remarketing,Display,Conversão,Google,brazil,Centro-Oeste,Instagram,39865,694,3869.89,17043.58,186,141,76,18833,5017,4676,mobile,
05/01/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BRA,Sudeste,Instagram,N/A,1777,,10200.67,351,228,121,14493,685,363,mobile,Returning
07/06/2025,CAMP005,Remarketing,Display,Conversão,Google,brazil,,Instagram,6431,72,1811.83,491.92,23,8,3,35782,9833,7896,mobile,
17/04/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,brazil,sudeste,Meta,7643,331,2346.59,4491.95,95,28,24,8927,1171,943,Desktop,new
27/02/2025,CAMP005,Remarketing,Display,Conversão,Google,BRA,sudeste,Google,33228,1504,3739.85,12600.06,515,301,97,26000,6304,4724,,new
01/06/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,Centro-Oeste,Meta,102852,2156,3595.17,42948.89,491,288,123,44617,3648,2889,,new
15/03/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BR,Centro-Oeste,Instagram,70633,4035,4907.95,45593.94,1180,367,255,17994,1727,242,Mobile,Returning
26/04/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BR,,Facebook,35933,324,4338.65,1214.56,48,36,15,40961,29118,2113,Desktop,new
06/01/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,brazil,Centro-Oeste,Google,69166,3142,2565.67,109299.15,1069,387,318,34243,21800,10403,,New
01/03/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BRA,,YouTube,34139,1358,4045.55,8951.99,437,149,60,20584,612,612,,returning
17/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Centro-Oeste,Google,67987,3410,6426.44,40428.64,385,249,165,34691,1125,246,desktop,new
25/01/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,Brasil,sudeste,Instagram,97051,-50,4795.0,19114.77,1777,1244,522,31930,16299,7544,Desktop,new
11/05/2025,CAMP005,Remarketing,Display,Conversão,Google,br,sudeste,Facebook,5587,151,4671.29,1804.16,16,6,5,46096,6450,5038,mobile,new
18/04/2025,CAMP005,Remarketing,Display,Conversão,Google,BRA,Nordeste,Google,23058,1293,347.58,17562.09,140,59,53,2958,2501,2248,desktop,Returning
02/06/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,br,Sul,Google,68278,1734,360.75,11733.87,444,340,199,34160,29516,23758,,returning
31/05/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BRAZIL,Sudeste,YouTube,63810,914,3073.28,20941.29,208,95,60,13109,5626,595,Mobile,new
20/04/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BRA,,YouTube,20282,1117,5480.58,40553.53,276,153,98,30304,17915,13074,tablet,
17/06/2025,CAMP004,Email Black Friday,Email,Retenção,CRM,BRA,sudeste,Google,48472,1056,3126.68,3101.31,255,105,31,33808,5827,67,tablet,new
07/05/2025,CAMP008,Newsletter,Email,Retenção,CRM,BRA,Centro-Oeste,Facebook,75910,948,5195.57,3487.94,225,179,103,31462,17044,13615,Desktop,new
17/05/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,Sul,Meta,51403,2956,6219.49,5667.09,790,233,141,7317,6702,526,Desktop,
21/01/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,Brasil,Sudeste,Google,94906,3167,4211.5,95785.35,365,138,309,9770,193,161,,new
25/05/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,brazil,Nordeste,Google,11716,409,1039.15,1392.93,140,60,23,31119,8333,5410,tablet,
18/02/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BR,Sudeste,Email,22709,245,5508.92,4421.72,50,24,25,32337,5482,2429,mobile,new
29/03/2025,CAMP001,Google Ads,Search,Aquisição,Google,brazil,Nordeste,Email,64156,1775,5701.31,"R$ 29984,51",478,380,121,45199,8210,6132,mobile,
13/04/2025,CAMP002,Meta Ads,Social,Aquisição,Meta,BRA,,Google,104291,5716,4191.15,8375.2,854,241,108,24377,13969,4033,Desktop,New
27/05/2025,CAMP005,Remarketing,Display,Conversão,Google,Brasil,Centro-Oeste,Meta,39542,1260,600.9,12656.82,221,169,118,21584,16585,1842,,New
28/04/2025,CAMP003,Instagram,Social,Brand Awareness,Meta,BR,,Instagram,69200,2969,4747.23,38232.8,960,275,316,7439,6401,5200,desktop,returning
24/02/2025,CAMP001,Google Ads,Search,Aquisição,Google,Brasil,Centro-Oeste,Google,94900,2919,5280.94,49413.3,601,420,322,11516,1130,419,tablet,New
18/04/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BR,sudeste,Instagram,47849,47849,3828.34,30097.96,152,112,89,2141,1635,1403,tablet,Returning
25/02/2025,CAMP005,Remarketing,Display,Conversão,Google,BR,,Email,26312,729,311.59,6590.75,183,80,22,29797,14730,13104,Mobile,Returning
06/03/2025,CAMP008,Newsletter,Email,Retenção,CRM,Brasil,Sul,Meta,22438,1059,3233.49,2770.24,229,178,60,43138,7597,6133,desktop,New
28/02/2025,CAMP006,Influenciadores,Influencer,Brand Awareness,Influencers,BR,Centro-Oeste,YouTube,58161,3449,6220.08,17367.63,1103,641,361,19800,14973,5619,Desktop,
